batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS
0,가르시아,2018,LG,0.339,50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,0.519,0.383,9,177cm/93kg,1985년 04월 12일,내야수(우투우타),쿠바 Ciego de Avila Maximo Gomez Baez(대),,0.902
1,강경학,2011,한화,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0
1,강경학,2014,한화,0.221,41,86,11,19,2,3,1,30,7,0,0,13,2,28,1,0.349,0.337,6,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.686
1,강경학,2015,한화,0.257,120,311,50,80,7,4,2,101,27,4,3,40,5,58,3,0.325,0.348,15,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.673
1,강경학,2016,한화,0.158,46,101,16,16,3,2,1,26,7,0,0,8,2,30,5,0.257,0.232,7,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.489
1,강경학,2017,한화,0.214,59,84,17,18,2,1,0,22,4,1,1,8,1,19,1,0.262,0.29,4,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.552
1,강경학,2018,한화,0.278,77,245,42,68,11,1,5,96,27,6,3,38,4,59,7,0.392,0.382,2,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.774
2,강구성,2013,NC,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0
2,강구성,2015,NC,0.2,4,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0.4,0.2,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.6
2,강구성,2016,NC,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0
2,강구성,2017,NC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0
2,강구성,2018,NC,0.2,4,5,0,1,1,0,0,2,1,0,0,0,0,3,0,0.4,0.2,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.6
138,백승룡,2005,한화,0.127,39,63,9,8,2,0,0,10,3,1,2,7,4,15,1,0.158730159,0.256756757,3,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.415486915
138,백승룡,2006,한화,0.139,37,36,6,5,2,0,0,7,0,1,0,8,2,14,0,0.194444444,0.326086957,4,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.520531401
